id,priority,stage,area,current_gap,implementation,depends_on,acceptance,sources,code_areas,status
LM-011,P0,C,Governed edits and reversible merge/split,Pair labels cannot express complete business mutations,Add preview/propose/approve/apply commands for overrides and membership changes; independent approver where policy requires,LM-008;LM-009;LM-010,Merge then split restores defined identities/memberships; later edits produce conflicts instead of silent rollback; every action has reason and actor,LF08;E05;E06,new mastering command services;app operation routes and previews,proposed_not_started
LM-012,P0,C,Onboarding and quality remediation,Quality checks lack a business remediation workflow,"Add UC/owned-file import preview, profiles, exception tasks and resubmission; optional AI mapping produces approved suggestions only",LM-003;LM-007;LM-008,Two sources onboard with row counts and quarantine reasons; corrected row resubmits idempotently; mapping drift and unsafe casts are rejected,LF03;LF13;D15;E07,src/lakematch/quality/;app sources and quality screens,proposed_not_started
LM-013,P0,C,Incremental mastering,Full-snapshot reconciliation is not source CDC,Track source cursors/deletes; recompute affected candidate/component neighborhoods; retain full-rebuild and retention-gap recovery,LM-002;LM-004;LM-005;LM-009;LM-012,Insert/update/delete/late-event cases agree with a full rebuild; large-component and missing-history cases trigger a safe bounded fallback,D06;D07;D15;E06,src/lakematch/cluster_job.py;new incremental orchestration,proposed_not_started
LM-014,P0,B-D,Calibrated decisions and explanations,Model choices exist but operational score bands and detailed evidence are incomplete,"Version deterministic match rules, calibration and reject/review/accept bands; show field comparisons and evaluate model-specific SHAP",LM-002;LM-003,"Report Brier/calibration, precision, recall and coverage on declared splits; proposed auto-merge precision lower 95% bound >=99.5%; explainer fidelity checked",LF03;D11;D19;D20;E04;E08,src/lakematch/matcher.py;src/lakematch/decision.py;src/lakematch/tracking.py;app evidence UI,proposed_not_started
LM-015,P1,D,Selective LLM adjudication,Paid/LLM flags do not implement provider support,"Add optional structured uncertain-pair adjudication with abstention, versioned cache, cost/latency evidence and human fallback",LM-008;LM-014,"Timeout, invalid output and identifier conflict route to review; labels remain separate; marginal quality/cost gain demonstrated before promotion",LF03;D13;E03,new optional adjudication adapter;src/lakematch/tracking.py,proposed_not_started
LM-016,P1,C-D,Reference entities and nested structures,Review payloads and domain contract lack general nested/reference editing,"Add governed code lists, dependent values, typed struct/array policies and nested value provenance",LM-003;LM-005;LM-006;LM-008,Invalid references/cardinality rejected; address tuples stay intact; array survivorship is deterministic and explainable,LF03;LF04;E03;E05,new mastering reference/schema services;app typed editors,proposed_not_started
LM-017,P1,D,Search-before-create and online scoring,Current PairModel requires Spark and complete candidate snapshots,Implement non-Spark feature/scorer contract and governed retrieval; explicit resolve outcomes and separate idempotent create/reservation command,LM-002;LM-004;LM-008;LM-009;LM-014,Batch/online parity is measured where claimed; exact concurrent creates deduplicate; proposed warm p95 <1s at 100k masters/20rps; cold starts and fuzzy ambiguity reported,LF03;D02;D18;E08,new optional online package;app resolve routes,proposed_not_started
LM-018,P1,D,Business relationships and hierarchies,Clustering edges represent identity only,"Add typed directed/effective-dated edges, cardinalities, provenance and hierarchy cycle policies",LM-004;LM-008;LM-009,Subsidiary and supplier relationships remain distinct from same-entity links; cycles/cardinality violations rejected; basic one/two-hop view works,LF04;LF05;E06,new relationship services and Delta schema;app hierarchy view,proposed_not_started
LM-019,P1,D,Interactive graph serving,No governed graph projection or bounded traversal API,"Build indexed adjacency and versioned projections with policy-aware caches, explicit expansion caps and freshness",LM-008;LM-009;LM-018,"Proposed p95 bounded 3-hop <2s at 100k nodes/1m edges/10rps with 10k visited-node and 2k returned-edge caps; revocation, supernodes and truncation tested",LF05;D03;D04;D05;D22,new graph serving adapter;app graph query and UI,proposed_not_started
LM-020,P1,D,MCP and delegated Genie,Standalone Genie smoke does not prove full conversational access,Expose narrow typed tools over shared services; mutation tools propose changes; complete delegated Genie acceptance over approved master views,LM-008;LM-010;LM-018,Tools return evidence/revision/freshness; denied calls fail without data leakage; proposal approval rules match UI; delegated Genie evidence retained,LF03;D12;D17;E02,app MCP adapter;deployment/ Genie bindings,proposed_not_started
LM-021,P1,E,PIM catalog and editorial core,Product benchmark matching is not PIM,"Add product family/variant/SKU identities, attribute libraries, locale/channel values, completeness, drafts and immutable catalog releases",LM-003;LM-005;LM-011;LM-016,Import/edit/review/publish workflow separates working/live catalogs; only approved type-valid values enter release; revision history survives retry,LF06;E01,new PIM package;app catalog workspace,proposed_not_started
LM-022,P1,E,Taxonomy crosswalks,No versioned classifications or cross-taxonomy mapping,"Add taxonomy versions, category requirements and reviewed mappings with propagation/conflict preview",LM-016;LM-021,One product classifies into two taxonomies; changed crosswalk shows affected values and conflicts without overwriting reviewed content,LF03;LF06,new PIM taxonomy services and UI,proposed_not_started
LM-023,P1,E,"Media, enrichment and channel delivery","No governed assets, localization or syndication",Store asset references/checksums; optional generated copy/translation proposals; publish approved manifests through connector outbox,LM-009;LM-021;LM-022,Asset provenance and locale fallback visible; unsupported product facts rejected in review; repeated channel delivery does not duplicate published items,LF06;LF14,new PIM content/assets/connectors;app release review,proposed_not_started
LM-024,P0,A-F,Environment separation and operational qualification,Targets share resources and product operations lack upgrade/restore workflows,"Create isolated state/resources; migrations, bounded job templates/status/retry, metrics and restore drills; later constrained pipeline editor and graph alert outbox; package customer Solution Accelerator with explicit environment bindings and SA demo/reset material",LM-001,"Pilot gets isolated environment and recovery evidence; release qualifies upgrades, schema compatibility, scoped permissions, cost and freshness; graph alerts deduplicate; fresh customer-style install uses supplied bindings without Laurent-specific IDs; SA demo reset/cleanup is documented and exercised",LF03;LF05;E02;D04;D08,databricks.yml;resources/;deployment/;app runs/admin screens,in_progress
LM-025,P2,F,Commercial distribution and entitlements,Internal deployment lacks marketplace packaging and licensing,"Only if commercial scope is chosen: assess marketplace route/preview, installer upgrades, signed entitlements and grace policy",LM-008;LM-024,Versioned install/upgrade/rollback demonstrated; entitlement outage behavior documented; platform eligibility verified before claiming availability,LF03;LF11;LF12;D14,deployment/;new optional licensing service,not_applicable
